Pass,DayofWeek,AOS,LOS,Satellite,MaxElevation
1,2,"(0,19,32)","(0,31,26)",NOAA-15,13.35
2,2,"(1,2,30)","(1,12,10)",NOAA-19,6.46
3,2,"(1,56,58)","(2,11,58)",NOAA-15,81.14
4,2,"(2,22,55)","(2,35,9)",METOP-B,14.47
5,2,"(2,39,4)","(2,54,20)",NOAA-19,52.11
6,2,"(3,8,38)","(3,20,13)",NOAA-18,10.77
7,2,"(3,13,50)","(3,28,25)",METOP-C,39.3
8,2,"(3,39,42)","(3,50,26)",NOAA-15,8.36
9,2,"(4,0,51)","(4,15,54)",METOP-B,76.76
10,2,"(4,20,47)","(4,34,32)",NOAA-19,19.72
11,2,"(4,46,16)","(5,1,46)",NOAA-18,76.53
12,2,"(4,54,18)","(5,8,29)",METOP-C,25.43
13,2,"(5,44,7)","(5,54,43)",METOP-B,7.92
14,2,"(6,29,0)","(6,41,40)",NOAA-18,13.33
15,2,"(14,12,22)","(14,26,57)",NOAA-15,39.56
16,2,"(15,1,31)","(15,15,39)",NOAA-19,22.9
17,2,"(15,31,56)","(15,44,59)",METOP-C,16.3
18,2,"(15,52,26)","(16,6,0)",NOAA-15,25.02
19,2,"(16,18,41)","(16,33,31)",METOP-B,45.02
20,2,"(16,41,50)","(16,56,48)",NOAA-19,45.73
21,2,"(17,8,43)","(17,23,41)",NOAA-18,33.97
22,2,"(17,11,18)","(17,26,31)",METOP-C,60.75
23,2,"(17,59,7)","(18,12,43)",METOP-B,23.26
24,2,"(18,24,19)","(18,33,19)",NOAA-19,5.35
25,2,"(18,49,26)","(19,3,52)",NOAA-18,30.99
26,2,"(18,52,51)","(19,3,2)",METOP-C,7.77
27,2,"(23,55,32)","(0,5,19)",NOAA-15,7.21
