Satellite,AOS,LOS
NOAA-15,7/31/2023 23:44:21,7/31/2023 23:52:55
NOAA-15,8/1/2023 01:19:35,8/1/2023 01:34:27
METOP-B,8/1/2023 01:41:03,8/1/2023 01:49:13
NOAA-19,8/1/2023 02:03:56,8/1/2023 02:18:20
METOP-C,8/1/2023 02:30:17,8/1/2023 02:43:01
NOAA-18,8/1/2023 02:39:02,8/1/2023 02:47:26
NOAA-15,8/1/2023 03:00:07,8/1/2023 03:13:42
METOP-B,8/1/2023 03:16:22,8/1/2023 03:31:08
NOAA-19,8/1/2023 03:44:02,8/1/2023 03:59:05
METOP-C,8/1/2023 04:08:30,8/1/2023 04:23:50
NOAA-18,8/1/2023 04:14:48,8/1/2023 04:29:54
METOP-B,8/1/2023 04:57:00,8/1/2023 05:11:00
METOP-C,8/1/2023 05:52:21,8/1/2023 06:02:04
NOAA-18,8/1/2023 05:55:51,8/1/2023 06:10:31
NOAA-15,8/1/2023 13:35:19,8/1/2023 13:48:19
NOAA-19,8/1/2023 14:26:33,8/1/2023 14:38:20
NOAA-15,8/1/2023 15:14:28,8/1/2023 15:29:23
METOP-B,8/1/2023 15:34:24,8/1/2023 15:47:37
NOAA-19,8/1/2023 16:05:56,8/1/2023 16:21:19
METOP-C,8/1/2023 16:26:17,8/1/2023 16:41:32
NOAA-18,8/1/2023 16:37:13,8/1/2023 16:50:53
NOAA-15,8/1/2023 16:55:52,8/1/2023 17:05:16
METOP-B,8/1/2023 17:13:56,8/1/2023 17:28:55
NOAA-19,8/1/2023 17:47:36,8/1/2023 17:59:34
METOP-C,8/1/2023 18:06:51,8/1/2023 18:20:17
NOAA-18,8/1/2023 18:17:18,8/1/2023 18:32:45
METOP-B,8/1/2023 18:55:35,8/1/2023 19:05:25
NOAA-18,8/1/2023 19:59:27,8/1/2023 20:09:46
NOAA-15,8/2/2023 00:54:39,8/2/2023 01:08:42
NOAA-19,8/2/2023 01:52:15,8/2/2023 02:06:07
METOP-C,8/2/2023 02:10:35,8/2/2023 02:21:55
NOAA-15,8/2/2023 02:33:55,8/2/2023 02:48:28
METOP-B,8/2/2023 02:56:07,8/2/2023 03:10:19
NOAA-19,8/2/2023 03:31:45,8/2/2023 03:47:10
METOP-C,8/2/2023 03:47:45,8/2/2023 04:02:55
NOAA-18,8/2/2023 04:02:51,8/2/2023 04:17:31
METOP-B,8/2/2023 04:35:44,8/2/2023 04:50:23
METOP-C,8/2/2023 05:30:05,8/2/2023 05:42:08
NOAA-18,8/2/2023 05:43:14,8/2/2023 05:58:23
NOAA-15,8/2/2023 13:10:29,8/2/2023 13:21:36
NOAA-19,8/2/2023 14:14:58,8/2/2023 14:25:27
NOAA-15,8/2/2023 14:48:58,8/2/2023 15:03:56
METOP-B,8/2/2023 15:14:19,8/2/2023 15:25:53
NOAA-19,8/2/2023 15:53:51,8/2/2023 16:09:10
METOP-C,8/2/2023 16:05:45,8/2/2023 16:20:26
NOAA-18,8/2/2023 16:25:19,8/2/2023 16:38:01
NOAA-15,8/2/2023 16:29:40,8/2/2023 16:41:16
METOP-B,8/2/2023 16:53:10,8/2/2023 17:08:23
NOAA-19,8/2/2023 17:35:15,8/2/2023 17:48:04
METOP-C,8/2/2023 17:45:51,8/2/2023 18:00:05
NOAA-18,8/2/2023 18:05:03,8/2/2023 18:20:31
METOP-B,8/2/2023 18:34:13,8/2/2023 18:45:54
NOAA-18,8/2/2023 19:46:52,8/2/2023 19:58:15
NOAA-15,8/3/2023 00:30:07,8/3/2023 00:42:51
NOAA-19,8/3/2023 01:40:40,8/3/2023 01:53:51
METOP-C,8/3/2023 01:51:12,8/3/2023 02:00:39
NOAA-15,8/3/2023 02:08:06,8/3/2023 02:23:10
METOP-B,8/3/2023 02:36:06,8/3/2023 02:49:11
NOAA-19,8/3/2023 03:19:33,8/3/2023 03:35:07
METOP-C,8/3/2023 03:27:11,8/3/2023 03:42:17
NOAA-18,8/3/2023 03:50:51,8/3/2023 04:05:10
NOAA-15,8/3/2023 03:51:40,8/3/2023 04:01:10
METOP-B,8/3/2023 04:14:41,8/3/2023 04:29:51
NOAA-19,8/3/2023 05:03:59,8/3/2023 05:13:55
METOP-C,8/3/2023 05:08:22,8/3/2023 05:21:53
NOAA-18,8/3/2023 05:30:44,8/3/2023 05:45:55
METOP-B,8/3/2023 05:59:07,8/3/2023 06:07:53
NOAA-19,8/3/2023 14:03:35,8/3/2023 14:12:21
NOAA-15,8/3/2023 14:23:29,8/3/2023 14:38:20
METOP-B,8/3/2023 14:54:29,8/3/2023 15:03:35
NOAA-19,8/3/2023 15:41:47,8/3/2023 15:57:07
METOP-C,8/3/2023 15:45:15,8/3/2023 15:59:00
NOAA-15,8/3/2023 16:03:44,8/3/2023 16:16:53
NOAA-18,8/3/2023 16:13:22,8/3/2023 16:25:07
METOP-B,8/3/2023 16:32:23,8/3/2023 16:47:25
NOAA-19,8/3/2023 17:23:00,8/3/2023 17:36:27
METOP-C,8/3/2023 17:24:57,8/3/2023 17:39:43
NOAA-18,8/3/2023 17:52:46,8/3/2023 18:08:15
METOP-B,8/3/2023 18:13:07,8/3/2023 18:26:03
METOP-C,8/3/2023 19:06:56,8/3/2023 19:15:42
NOAA-18,8/3/2023 19:34:19,8/3/2023 19:46:39
